;Volumen de la conversación;Discusión negativa;Discusión positiva
6/09/2018;1983;121;1829
7/09/2018;1622;107;1396
8/09/2018;1064;91;911
9/09/2018;1247;94;1102
10/09/2018;1301;75;1182
11/09/2018;1038;66;934
12/09/2018;1492;44;1308
13/09/2018;1316;94;1161
14/09/2018;2018;126;1568
15/09/2018;1342;93;1043
16/09/2018;1689;104;930
17/09/2018;2195;184;1389
18/09/2018;1885;134;1625
19/09/2018;1711;84;1561
20/09/2018;1185;46;1101
21/09/2018;879;50;768
22/09/2018;986;71;885
23/09/2018;1794;67;1698
24/09/2018;1662;86;1546
25/09/2018;4856;140;3486
26/09/2018;8923;628;7302
27/09/2018;3703;234;2936
28/09/2018;1495;153;1087
29/09/2018;1498;677;656
30/09/2018;1303;420;818
1/10/2018;1210;116;717
2/10/2018;1083;97;846
3/10/2018;1245;192;938
4/10/2018;1032;162;759
5/10/2018;836;96;662
6/10/2018;752;85;484
7/10/2018;889;171;606
8/10/2018;1419;213;1172
9/10/2018;1099;199;871
10/10/2018;597;85;481
11/10/2018;765;52;699
12/10/2018;1352;553;765
13/10/2018;1250;219;991
14/10/2018;966;183;769
15/10/2018;1059;443;589
16/10/2018;1272;228;1000
17/10/2018;1187;239;924
18/10/2018;857;280;493
19/10/2018;745;126;477
20/10/2018;1105;128;794
21/10/2018;1095;87;975
22/10/2018;925;85;825
23/10/2018;717;66;600
24/10/2018;724;113;548
25/10/2018;1149;495;964
26/10/2018;668;157;491
27/10/2018;731;148;554
28/10/2018;1122;254;608
29/10/2018;930;121;486
30/10/2018;1042;199;627
31/10/2018;926;220;635
1/11/2018;857;125;652
2/11/2018;1051;146;852
3/11/2018;1560;140;1430
4/11/2018;1145;135;955
5/11/2018;828;170;605
6/11/2018;559;90;418
7/11/2018;446;68;337
8/11/2018;389;79;291
9/11/2018;2313;150;2134
10/11/2018;2071;84;1959
11/11/2018;666;79;560
12/11/2018;715;71;641
13/11/2018;928;58;816
14/11/2018;867;71;725
15/11/2018;946;156;761
16/11/2018;461;99;339
17/11/2018;675;31;594
18/11/2018;536;45;432
19/11/2018;2462;276;2093
20/11/2018;1777;311;1454
21/11/2018;1196;167;970
22/11/2018;1134;165;936
23/11/2018;660;81;485
24/11/2018;848;72;680
25/11/2018;767;84;546
26/11/2018;793;104;607
27/11/2018;723;84;603
28/11/2018;529;85;422
29/11/2018;575;56;500
30/11/2018;435;35;388
1/12/2018;532;62;451
2/12/2018;1125;499;595
3/12/2018;606;186;369
4/12/2018;495;42;424
5/12/2018;515;48;451
6/12/2018;521;53;430
7/12/2018;867;244;572
8/12/2018;755;358;329
9/12/2018;498;264;312
10/12/2018;1058;124;867
11/12/2018;1930;112;1653
12/12/2018;741;105;589
13/12/2018;1525;207;1309
14/12/2018;1183;108;1045
15/12/2018;588;102;473
16/12/2018;882;156;711
17/12/2018;535;66;417
18/12/2018;612;119;416
19/12/2018;988;188;753
20/12/2018;3804;1094;2227
21/12/2018;978;256;658
22/12/2018;410;56;311
23/12/2018;560;66;470
