DEPARTAMENTO,MUNICIPIO,DIVIPOLA,FB key,lat,long,poblacion,venezuelan_mau_sep,venezuelan_dau_sep,indicador_presion_sep,venezuelan_mau_oct15,venezuelan_dau_oct15,indicador_presion_oct15,venezuelan_mau_oct30,venezuelan_dau_oct30,indicador_presion_oct30,venezuelan_mau_nov15,venezuelan_dau_nov15,indicador_presion_nov15,venezuelan_mau_nov30,venezuelan_dau_nov30,indicador_presion_nov30,venezuelan_mau_dec15,venezuelan_dau_dec15,indicador_presion_dec15,venezuelan_mau_dec30,venezuelan_dau_dec30,indicador_presion_dec30,venezuelan_mau_jan15,venezuelan_dau_jan15,indicador_presion_jan15,venezuelan_mau_jan30,venezuelan_dau_jan30,indicador_presion_jan30,venezuelan_mau_feb15,venezuelan_dau_feb15,indicador_presion_feb15,venezuelan_mau_feb28,venezuelan_dau_feb28,indicador_presion_feb28
#adm1+name,#adm2+name,#adm2+pcode,#adm2+fbcode,#geo+lat,#geo+long,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate
Santander,Cimitarra,68190,460874,6.3161111,-73.9505556,48328,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Concepcion,68207,461091,6.9166667,-72.5,5110,0,0,0,1000,997,19569.0,0,0,0.0,1000,997,19569.0,1000,997,19569.0,0,0,0.0,1000,498,19569.0,1000,498,19569.0,1000,997,19569.0,1000,997,19569.0,1000,749,19569.0
Santander,Confines,68209,461117,6.4166667,-73.1666667,2695,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,37105.0,0,0,0.0
Santander,Contratacion,68211,461144,6.3333333,-73.4166667,3352,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Coromoro,68217,461245,6.3333333,-73,7642,997,997,13046,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Curiti,68229,461991,6.6666667,-73,12016,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1000,498,8322.0,1000,997,8322.0,1000,498,8322.0,1000,749,8322.0,1000,999,8322.0,1000,498,8322.0,0,0,0.0
Santander,El Carmen de Chucuri,68235,462703,6.6989284,-73.5137872,20671,997,997,4823,1000,997,4837.0,1000,997,4837.0,1000,664,4837.0,0,0,0.0,1000,332,4837.0,0,0,0.0,1000,499,4837.0,1000,599,4837.0,0,0,0.0,0,0,0.0
Santander,El Guacamayo,68245,463446,6.3333333,-73.4666667,1918,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,El Peñon,68250,464282,6.55,-72.8333333,5038,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,El Playon,68255,464382,7.4766667,-73.2080556,11385,997,997,8757,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Encino,68264,465308,6.1666667,-73,2440,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Enciso,68266,465309,6.75,-72.6333333,3136,0,0,0,0,0,0.0,0,0,0.0,1000,997,31887.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,498,31887.0,1000,997,31887.0,1000,997,31887.0,1000,498,31887.0
Santander,Florian,68271,465588,5.8047222,-73.9741667,6276,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,15933.0
Santander,Floridablanca,68276,465591,7.0647222,-73.0897222,267124,6200,3488,2321,5800,3639,2171.0,5700,3091,2133.0,7500,4814,2807.0,7000,4052,2620.0,7100,4354,2657.0,7000,3450,2620.0,7500,4936,2807.0,7700,5363,2882.0,7800,4508,2919.0,1000,557,374.0
Santander,Galan,68296,465741,6.7,-73.3,2139,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Gambita,68298,465788,6,-73.25,5039,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Giron,68307,465899,7.0736828,-73.1844806,195499,2400,1535,1228,2400,1093,1227.0,2500,1642,1278.0,3200,1716,1636.0,2800,1546,1432.0,2800,1781,1432.0,2900,1743,1483.0,3200,2423,1636.0,3500,2455,1790.0,3500,2433,1790.0,1000,638,511.0
Santander,Guaca,68318,465999,7,-72.7666667,6264,0,0,0,0,0,0.0,1000,332,15964.0,1000,498,15964.0,1000,498,15964.0,0,0,0.0,1000,498,15964.0,0,0,0.0,1000,997,15964.0,0,0,0.0,1000,997,15964.0
Santander,Guadalupe,68320,466086,6.3,-73.3333333,4519,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Guapota,68322,466257,6.3833333,-73.25,2096,0,0,0,0,0,0.0,1000,997,47709.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,47709.0,0,0,0.0,1000,997,47709.0,0,0,0.0
Santander,Guavata,68324,466368,6,-73.65,3495,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Güepsa,68327,466457,6.0833333,-73.5,3730,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Hato,68344,467667,6.5833333,-73.3333333,2324,0,0,0,0,0,0.0,0,0,0.0,1000,997,43029.0,0,0,0.0,1000,997,43029.0,0,0,0.0,1000,997,43029.0,1000,997,43029.0,1000,997,43029.0,1000,997,43029.0
